iter,acc,nmi,ari,unconf_acc,conf_acc,nb_unconf,nb_conf,nb_added_links,nb_false_added_links,nb_true_added_links,nb_dropped_links,nb_false_dropped_links,nb_true_dropped_links,nb_unconf,nb_conf,ID_global_mean,ID_local_mean,LID_mean,ID_global_error,ID_local_error
0,0.9936,0.97631,0.98944,1.0,0.99234,645,3264,0,0,0,0,0,0,645,3264,8.783754334065069,[ 8.18390488 10.38653888  9.29964656  9.91401177  7.91101838  7.00740552],10.333333333333334,1.1824725133300178,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 8.88178420e-16]"
8,0.99463,0.97919,0.99036,1.0,0.99357,645,3264,0,0,0,0,0,0,645,3264,9.123334159811602,[8.48995225 9.94466566 9.84440731 9.18229209 9.69738794 7.58129972],10.166666666666666,0.8472099833575758,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.77635684e-15]"
16,0.99386,0.97707,0.98959,1.0,0.99317,396,3513,0,0,0,0,0,0,396,3513,9.046225875067822,[ 8.95247669  9.82759348 10.04938398  8.93226138  8.88725641  7.62838333],10.0,0.7825372317059633,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 1.77635684e-15
 0.00000000e+00 8.88178420e-16]"
24,0.99412,0.97788,0.98953,1.0,0.99345,396,3513,0,0,0,0,0,0,396,3513,9.085287662331279,[ 8.81516656 10.22132757  9.96671743  9.29371861  8.44833621  7.76645959],10.0,0.8494045578261614,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 1.77635684e-15
 1.77635684e-15 8.88178420e-16]"
32,0.99412,0.97788,0.98953,1.0,0.99339,432,3477,0,0,0,0,0,0,432,3477,9.172535751166523,[ 9.15495243  9.93844033 10.34153346  8.98112255  8.28357894  8.3355868 ],10.0,0.761669375354088,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
40,0.99386,0.9772,0.99001,1.0,0.9931,432,3477,0,0,0,0,0,0,432,3477,9.370816300604508,[ 9.78665569  9.42081725 10.4935411   9.58301099  8.78145495  8.15941782],9.833333333333334,0.741146988017166,"[0.00000000e+00 1.77635684e-15 1.77635684e-15 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
48,0.99488,0.97993,0.99104,1.0,0.9943,403,3506,0,0,0,0,0,0,403,3506,9.337292407375475,[ 9.95753597  9.82751801 10.0885948   9.16737471  8.87818899  8.10454197],10.0,0.7010468504693163,"[1.77635684e-15 0.00000000e+00 1.77635684e-15 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
56,0.99437,0.9791,0.99118,1.0,0.99373,403,3506,0,0,0,0,0,0,403,3506,9.36646656554351,[10.25786115 10.05324307  9.92068327  9.15062337  8.40902751  8.40736103],10.0,0.7590085295134563,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
64,0.99437,0.9791,0.99118,0.99715,0.9941,351,3558,0,0,0,0,0,0,351,3558,9.47825758199289,[10.6652682  10.17496724 10.24308067  9.33595651  8.3506917   8.09958117],9.666666666666666,0.972261623139062,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 0.00000000e+00
 1.77635684e-15 0.00000000e+00]"
72,0.99437,0.97919,0.99089,0.99715,0.9941,351,3558,0,0,0,0,0,0,351,3558,9.669259469441261,[10.71061263  9.8042941  10.80896884  9.31033709  9.34091553  8.04042862],9.5,0.9390876020487181,"[1.77635684e-15 1.77635684e-15 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.77635684e-15]"
80,0.99386,0.97678,0.98971,1.0,0.99349,224,3685,0,0,0,0,0,0,224,3685,9.635584448047581,[10.11580691  9.9657989  10.82691887  9.61445396  9.27331868  8.01720937],9.666666666666666,0.8669634515314363,"[1.77635684e-15 0.00000000e+00 1.77635684e-15 0.00000000e+00
 1.77635684e-15 0.00000000e+00]"
88,0.99463,0.97917,0.9912,1.0,0.9943,224,3685,0,0,0,0,0,0,224,3685,9.62854711535917,[ 9.8094364   9.87763676 10.45690902  9.83428272  9.69305278  8.09996502],9.5,0.726177361748275,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 1.77635684e-15
 1.77635684e-15 0.00000000e+00]"
96,0.99463,0.97935,0.99115,0.99709,0.99439,344,3565,0,0,0,0,0,0,344,3565,9.654624356339635,[ 9.92291999  9.42471232 10.37206085 10.2490792   9.6717054   8.28726838],9.5,0.6907589919831673,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.77635684e-15 0.00000000e+00]"
104,0.99437,0.97842,0.99068,0.99709,0.99411,344,3565,0,0,0,0,0,0,344,3565,9.554923722232108,[ 9.79864971 10.0185384  10.31193073  9.52225315  9.13589685  8.54227348],9.333333333333334,0.5844530103605308,"[1.77635684e-15 0.00000000e+00 1.77635684e-15 1.77635684e-15
 1.77635684e-15 1.77635684e-15]"
112,0.99463,0.97935,0.99115,0.99765,0.99426,425,3484,0,0,0,0,0,0,425,3484,9.731255309219792,[ 9.85936926  9.64778153 10.67802386  9.98463836  9.61002375  8.60769509],9.166666666666666,0.6138728671449709,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
120,0.99463,0.97917,0.9912,0.99765,0.99426,425,3484,0,0,0,0,0,0,425,3484,9.938126469370438,[ 9.98404387 10.26627813 10.55921398 10.07778639  9.65125796  9.09017848],9.166666666666666,0.4683936826750949,"[0.00000000e+00 0.00000000e+00 1.77635684e-15 0.00000000e+00
 0.00000000e+00 1.77635684e-15]"
128,0.99463,0.97935,0.99143,0.99771,0.99424,436,3473,0,0,0,0,0,0,436,3473,10.085562636687202,[10.4417045  11.07543984 11.13255528 10.15564915  9.28273009  8.42529696],9.0,0.9668524398621404,[0. 0. 0. 0. 0. 0.]
136,0.99514,0.98107,0.9923,0.99771,0.99482,436,3473,0,0,0,0,0,0,436,3473,9.861739154424205,[10.18428169  9.72594681 10.62030197 10.60134209  9.53796728  8.50059507],9.166666666666666,0.7305756588780313,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.77635684e-15 1.77635684e-15]"
144,0.99463,0.9797,0.99177,0.99783,0.9942,461,3448,0,0,0,0,0,0,461,3448,9.797660516797501,[10.01047861  9.87185029 10.46151694 10.57112434  9.13041216  8.74058075],9.166666666666666,0.664879100276438,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 1.77635684e-15]"
152,0.99514,0.98107,0.99231,0.99783,0.99478,461,3448,0,0,0,0,0,0,461,3448,10.123612085751729,[ 9.61757525 11.0986207  10.23885049 10.74935142 10.0149738   9.02230085],9.166666666666666,0.6875358658936183,"[1.77635684e-15 1.77635684e-15 1.77635684e-15 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
160,0.99514,0.98121,0.99225,0.99848,0.99446,658,3251,0,0,0,0,0,0,658,3251,10.26789140379323,[ 9.60298379 11.46881044 10.5487008  10.55033011 10.64132001  8.79520328],9.333333333333334,0.8515861122108828,"[1.77635684e-15 1.77635684e-15 0.00000000e+00 0.00000000e+00
 1.77635684e-15 1.77635684e-15]"
168,0.99488,0.98037,0.99204,0.99848,0.99416,658,3251,0,0,0,0,0,0,658,3251,10.246789411172275,[ 9.93554252  9.95053912 10.70743261 11.03080889 10.3672183   9.48919503],9.0,0.5163929267645622,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.77635684e-15]"
176,0.99514,0.98123,0.99227,0.99867,0.9943,750,3159,0,0,0,0,0,0,750,3159,10.511754229183259,[ 9.96438269 10.69901057 11.68653889 11.32325461 10.41468515  8.98265347],8.833333333333334,0.8870272396874433,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 0.00000000e+00
 1.77635684e-15 1.77635684e-15]"
184,0.99488,0.98037,0.99204,0.99867,0.99399,750,3159,0,0,0,0,0,0,750,3159,10.374007182905943,[10.46202589 10.04814251 11.56605611 11.33437364  9.58673157  9.24671337],9.0,0.8512553159497795,"[0.00000000e+00 1.77635684e-15 1.77635684e-15 0.00000000e+00
 1.77635684e-15 0.00000000e+00]"
192,0.99514,0.98123,0.99227,0.9981,0.99468,527,3382,0,0,0,0,0,0,527,3382,10.362363252731678,[10.6999163  10.15480025 11.54917426 11.38491668 10.23808481  8.14728721],8.833333333333334,1.120503409701262,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.77635684e-15]"
200,0.99514,0.98123,0.99227,0.9981,0.99468,527,3382,0,0,0,0,0,0,527,3382,10.279904301889472,[ 9.9973657  10.60448344 10.76348398 11.37418453  9.54411757  9.39579059],9.0,0.6999425426553932,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 1.77635684e-15]"
208,0.99488,0.98037,0.99204,1.0,0.99426,423,3486,0,0,0,0,0,0,423,3486,10.210939473227999,[10.05063423  9.9193245  10.97240958 12.82210981  9.28629397  8.21486474],8.666666666666666,1.4345770565455196,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 1.77635684e-15
 1.77635684e-15 0.00000000e+00]"
216,0.99514,0.98123,0.99227,1.0,0.99455,423,3486,0,0,0,0,0,0,423,3486,10.102763732430112,[ 9.94444435 10.1844841  10.6505432  11.8116364   9.12224903  8.90322533],8.833333333333334,0.9705971397459028,"[0.00000000e+00 0.00000000e+00 1.77635684e-15 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
224,0.99488,0.98037,0.99204,0.99807,0.9944,517,3392,0,0,0,0,0,0,517,3392,9.91356784825147,[ 9.87113647  9.99249385 10.95227911 11.1924529   8.87842056  8.5946242 ],8.666666666666666,0.960350633535522,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.77635684e-15]"
232,0.99488,0.98037,0.99204,0.99807,0.9944,517,3392,0,0,0,0,0,0,517,3392,10.104679667330155,[10.00396861 10.03778865 10.79968712 11.648004    8.88879581  9.24983383],8.666666666666666,0.9209268366537828,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
240,0.99514,0.98107,0.99231,1.0,0.9941,690,3219,0,0,0,0,0,0,690,3219,10.03655823501188,[ 9.8731963  10.22291744 10.23380651 11.48681093  9.32200424  9.08061398],8.5,0.7776003117793557,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
248,0.99488,0.98037,0.99204,1.0,0.99379,690,3219,0,0,0,0,0,0,690,3219,10.265182404028305,[ 9.37347048 10.22104491 10.57797546 12.07639411 10.13444064  9.20776881],8.666666666666666,0.9408013023009748,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
256,0.99514,0.98074,0.992,1.0,0.99388,802,3107,0,0,0,0,0,0,802,3107,10.350168769026796,[ 9.78811423 10.62235962 11.13074419 11.92405095  9.72980935  8.90593428],8.5,0.9955781694980513,"[0.00000000e+00 0.00000000e+00 1.77635684e-15 1.77635684e-15
 0.00000000e+00 1.77635684e-15]"
264,0.99488,0.98012,0.99199,1.0,0.99356,802,3107,0,0,0,0,0,0,802,3107,10.191605167859283,[10.66691871 10.21950428 11.39426881 10.79315857  9.1128788   8.96290183],8.666666666666666,0.8858451833350717,"[1.77635684e-15 1.77635684e-15 0.00000000e+00 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
272,0.99488,0.98004,0.99173,0.99866,0.99399,745,3164,0,0,0,0,0,0,745,3164,10.122013237759836,[10.53322727 10.28525717 11.22706151 10.79599479  9.26912882  8.62140986],8.666666666666666,0.8991061011937962,"[0.00000000e+00 0.00000000e+00 1.77635684e-15 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
280,0.9954,0.98149,0.99228,0.99866,0.99463,745,3164,0,0,0,0,0,0,745,3164,10.117467875939202,[10.95651981  9.90292398 11.0771655  10.20866501  9.58128819  8.97824477],8.833333333333334,0.7376416945067934,"[0.00000000e+00 1.77635684e-15 1.77635684e-15 0.00000000e+00
 1.77635684e-15 1.77635684e-15]"
288,0.99514,0.98123,0.99227,0.99858,0.99438,706,3203,0,0,0,0,0,0,706,3203,10.208775806611929,[10.64211162  9.16049705 11.36470937 10.16272119 10.50142003  9.42119559],8.666666666666666,0.7450833218460372,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
296,0.99514,0.98123,0.99227,0.99858,0.99438,706,3203,0,0,0,0,0,0,706,3203,9.829680514212898,[ 9.17990526  9.65630688 11.18127599 10.40103822  9.45795606  9.10160068],8.5,0.7386706036377918,"[1.77635684e-15 1.77635684e-15 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.77635684e-15]"
304,0.99488,0.98003,0.99197,0.99879,0.99384,826,3083,0,0,0,0,0,0,826,3083,9.808256433342455,[ 8.77953356  9.95708031 10.86158782 10.27764857 10.20221929  8.77146904],8.5,0.778929834991432,[0. 0. 0. 0. 0. 0.]
312,0.99488,0.9801,0.99168,0.99879,0.99384,826,3083,0,0,0,0,0,0,826,3083,9.661438054213667,[ 9.13242327  9.91535924 10.91319699  9.88742659 10.01640095  8.10382129],8.333333333333334,0.8674169021862689,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.77635684e-15 1.77635684e-15]"
320,0.99565,0.98267,0.99251,1.0,0.99434,908,3001,0,0,0,0,0,0,908,3001,9.841684885660339,[ 9.23784863 10.03945359 10.85587195 10.45297703 10.31195576  8.15200236],8.5,0.9020500638082006,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.77635684e-15]"
328,0.9954,0.98155,0.99223,1.0,0.994,908,3001,0,0,0,0,0,0,908,3001,9.31171735449982,[ 8.86095119  9.35589202 10.91107358  9.18809295  9.77933211  7.77496228],8.5,0.9450436138489893,"[0.00000000e+00 0.00000000e+00 1.77635684e-15 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
336,0.99565,0.98267,0.99251,1.0,0.99414,1007,2902,0,0,0,0,0,0,1007,2902,9.59928831966081,[ 8.89919231  9.3678219  10.61393     9.62305689 10.60491495  8.48681387],8.666666666666666,0.7981915113800973,"[1.77635684e-15 0.00000000e+00 1.77635684e-15 0.00000000e+00
 0.00000000e+00 1.77635684e-15]"
344,0.9954,0.98155,0.99251,1.0,0.9938,1007,2902,0,0,0,0,0,0,1007,2902,9.781991162511654,[ 9.24305405  9.66016725 10.7892235   9.47511247 10.32962249  9.19476721],8.666666666666666,0.585764150954682,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.77635684e-15 1.77635684e-15]"
352,0.99565,0.98267,0.99279,0.99896,0.99457,963,2946,0,0,0,0,0,0,963,2946,9.860451475799762,[ 9.51557877  9.9426058  10.77692016  9.40613315 11.16822405  8.35324692],8.666666666666666,0.9268172409040014,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
360,0.99514,0.98043,0.99221,0.99896,0.99389,963,2946,0,0,0,0,0,0,963,2946,9.832048610801444,[ 9.6244728   9.60488306 10.95510385  9.6372321  10.28680704  8.88379282],8.666666666666666,0.6454833736117964,"[1.77635684e-15 1.77635684e-15 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
368,0.9954,0.98155,0.99251,1.0,0.99398,921,2988,0,0,0,0,0,0,921,2988,9.494435095235254,[ 9.41683275 10.03899516 10.67239592  9.43587424  9.32309889  8.07941361],8.5,0.7879541811013783,"[0.00000000e+00 0.00000000e+00 1.77635684e-15 1.77635684e-15
 1.77635684e-15 1.77635684e-15]"
376,0.9954,0.98155,0.99251,1.0,0.99398,921,2988,0,0,0,0,0,0,921,2988,9.659561292245753,[ 9.7027237   9.85657778 10.96239535  9.57792497  9.72408652  8.13365943],8.333333333333334,0.8243441398554879,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 0.00000000e+00]"
384,0.9954,0.98155,0.99251,0.99896,0.99424,959,2950,0,0,0,0,0,0,959,2950,9.867950868707675,[10.04624377 10.18332313 11.10250891  9.65782286 10.08140455  8.13640199],8.5,0.8891343491329028,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.77635684e-15
 0.00000000e+00 1.77635684e-15]"
392,0.9954,0.98155,0.99223,0.99896,0.99424,959,2950,0,0,0,0,0,0,959,2950,9.472709935328712,[ 9.66807702 10.62554311 10.67309496  9.23633729  9.21738075  7.41582648],8.5,1.0923942665984134,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 8.8817842e-16]"
